Fecha,EquipoI,PuntosI,EquipoJ,PuntosJ
12/9/2019,Patronato,0,Vélez Sarsf,1
12/9/2019,Argentinos Jun,1,Estudiantes,1
12/12/2019,Arsenal,2,Colón,1
12/13/2019,Independiente,2,Newell's OB,3
1/19/2020,Independiente,1,River Plate,2
1/24/2020,Aldosivi,2,Lanús,0
1/24/2020,Gimnasia ELP,0,Vélez Sarsf,0
1/24/2020,CA Unión,1,Argentinos Jun,0
1/24/2020,Rosario Cent,2,CA Huracán,1
1/25/2020,Arsenal,1,Newell's OB,1
1/25/2020,CC Córdoba,1,Colón,0
1/25/2020,San Lorenzo,1,Estudiantes,1
1/25/2020,Godoy Cruz,0,River Plate,1
1/26/2020,Banfield,3,Patronato,3
1/26/2020,Defensa y Just,4,Talleres,1
1/26/2020,Racing Club,1,Tucumán,1
1/26/2020,Boca Juniors,0,Independiente,0
1/30/2020,Vélez Sarsf,1,Aldosivi,1
1/31/2020,CA Huracán,1,Gimnasia ELP,1
2/1/2020,Independiente,5,Rosario Cent,0
2/1/2020,Tucumán,1,Defensa y Just,1
2/1/2020,Estudiantes,3,CA Unión,1
2/1/2020,Argentinos Jun,1,Racing Club,1
2/2/2020,River Plate,2,CC Córdoba,0
2/2/2020,Colón,0,Banfield,1
2/2/2020,Lanús,2,Godoy Cruz,0
2/2/2020,Talleres,1,Boca Juniors,2
2/3/2020,Patronato,2,Arsenal,2
2/3/2020,Newell's OB,1,San Lorenzo,0
2/7/2020,Aldosivi,0,CC Córdoba,2
2/7/2020,Argentinos Jun,0,Lanús,0
2/8/2020,Gimnasia ELP,1,Patronato,1
2/8/2020,Defensa y Just,0,Colón,0
2/8/2020,Banfield,1,Rosario Cent,1
2/8/2020,Newell's OB,0,Estudiantes,0
2/8/2020,Boca Juniors,2,Tucumán,0
2/9/2020,San Lorenzo,1,Vélez Sarsf,0
2/9/2020,Racing Club,1,Independiente,0
2/9/2020,CA Unión,1,River Plate,2
2/10/2020,Arsenal,1,Talleres,1
2/10/2020,Godoy Cruz,2,CA Huracán,1
2/14/2020,Patronato,1,CA Unión,0
2/14/2020,Colón,1,Racing Club,1
2/15/2020,CA Huracán,0,Aldosivi,2
2/15/2020,Tucumán,0,Argentinos Jun,2
2/15/2020,Rosario Cent,1,Gimnasia ELP,0
2/15/2020,Talleres,1,San Lorenzo,0
2/16/2020,River Plate,1,Banfield,0
2/16/2020,Lanús,1,Newell's OB,1
2/16/2020,CC Córdoba,0,Boca Juniors,4
2/17/2020,Estudiantes,1,Defensa y Just,2
2/17/2020,Independiente,1,Arsenal,1
2/21/2020,Banfield,0,Aldosivi,1
2/21/2020,Argentinos Jun,1,Patronato,1
2/22/2020,San Lorenzo,0,Racing Club,1
2/22/2020,Independiente,0,Gimnasia ELP,1
2/22/2020,Newell's OB,4,Colón,0
2/22/2020,Tucumán,2,Lanús,2
2/23/2020,Arsenal,0,Vélez Sarsf,4
2/23/2020,Boca Juniors,3,Godoy Cruz,0
2/23/2020,Estudiantes,0,River Plate,2
2/24/2020,Defensa y Just,3,Rosario Cent,0
2/24/2020,CA Unión,0,CC Córdoba,0
2/24/2020,Talleres,4,CA Huracán,2
2/28/2020,Racing Club,1,Newell's OB,1
2/28/2020,Colón,0,Boca Juniors,4
2/29/2020,Gimnasia ELP,1,Tucumán,0
2/29/2020,River Plate,1,Defensa y Just,1
2/29/2020,CC Córdoba,1,Banfield,1
2/29/2020,Godoy Cruz,1,CA Unión,3
3/1/2020,Aldosivi,1,San Lorenzo,3
3/1/2020,Lanús,1,Estudiantes,1
3/1/2020,Rosario Cent,3,Arsenal,1
3/1/2020,Vélez Sarsf,2,Argentinos Jun,0
3/2/2020,Patronato,3,Talleres,2
3/2/2020,CA Huracán,1,Independiente,0
3/4/2020,Vélez Sarsf,0,Godoy Cruz,1
3/6/2020,Arsenal,4,Aldosivi,0
3/6/2020,Argentinos Jun,2,Rosario Cent,1
3/7/2020,Defensa y Just,2,Patronato,0
3/7/2020,Banfield,0,CA Huracán,3
3/7/2020,Boca Juniors,1,Gimnasia ELP,0
3/7/2020,Tucumán,1,River Plate,1
3/8/2020,San Lorenzo,4,Lanús,3
3/8/2020,Independiente,3,CC Córdoba,0
3/8/2020,Newell's OB,0,Godoy Cruz,2
3/8/2020,Talleres,2,Colón,0
3/9/2020,CA Unión,0,Vélez Sarsf,3
3/9/2020,Estudiantes,1,Racing Club,2
