,Home,HG,Away,AG
2997,Talleres Cordoba,0,Union de Santa Fe,0
2998,Lanus,1,Racing Club,0
2999,Defensa y Justicia,2,Godoy Cruz,0
3000,Gimnasia L.P.,2,Central Cordoba,1
3001,Rosario Central,1,Boca Juniors,0
3002,River Plate,0,San Lorenzo,1
3003,Patronato,0,Velez Sarsfield,1
3004,Argentinos Jrs,1,Estudiantes L.P.,1
3005,Arsenal Sarandi,2,Colon Santa FE,1
3006,Independiente,2,Newells Old Boys,3
